uri,day,request_datetime,actual_datetime
www.washingtonpost.com,1,2016-11-01T01:00:00,"Tue, 01 Nov 2016 00:33:29 GMT"
www.washingtonpost.com,2,2016-11-02T01:00:00,"Wed, 02 Nov 2016 00:49:57 GMT"
www.washingtonpost.com,3,2016-11-03T01:00:00,"Thu, 03 Nov 2016 00:51:52 GMT"
www.washingtonpost.com,4,2016-11-04T01:00:00,"Fri, 04 Nov 2016 00:45:30 GMT"
www.washingtonpost.com,5,2016-11-05T01:00:00,"Sat, 05 Nov 2016 01:14:32 GMT"
www.washingtonpost.com,6,2016-11-06T01:00:00,"Sun, 06 Nov 2016 00:29:09 GMT"
www.washingtonpost.com,7,2016-11-07T01:00:00,"Mon, 07 Nov 2016 00:50:22 GMT"
www.washingtonpost.com,8,2016-11-08T01:00:00,"Tue, 08 Nov 2016 00:54:20 GMT"
www.washingtonpost.com,9,2016-11-09T01:00:00,"Wed, 09 Nov 2016 01:02:17 GMT"
www.washingtonpost.com,10,2016-11-10T01:00:00,"Thu, 10 Nov 2016 00:59:03 GMT"
www.washingtonpost.com,11,2016-11-11T01:00:00,"Fri, 11 Nov 2016 00:58:24 GMT"
www.washingtonpost.com,12,2016-11-12T01:00:00,"Sat, 12 Nov 2016 00:56:43 GMT"
www.washingtonpost.com,13,2016-11-13T01:00:00,"Sun, 13 Nov 2016 01:28:04 GMT"
www.washingtonpost.com,14,2016-11-14T01:00:00,"Mon, 14 Nov 2016 00:27:33 GMT"
www.washingtonpost.com,15,2016-11-15T01:00:00,"Tue, 15 Nov 2016 01:03:16 GMT"
www.washingtonpost.com,16,2016-11-16T01:00:00,"Wed, 16 Nov 2016 00:36:49 GMT"
www.washingtonpost.com,17,2016-11-17T01:00:00,"Thu, 17 Nov 2016 01:11:01 GMT"
www.washingtonpost.com,18,2016-11-18T01:00:00,"Fri, 18 Nov 2016 01:09:32 GMT"
www.washingtonpost.com,19,2016-11-19T01:00:00,"Sat, 19 Nov 2016 00:59:29 GMT"
www.washingtonpost.com,20,2016-11-20T01:00:00,"Sun, 20 Nov 2016 01:03:21 GMT"
www.washingtonpost.com,21,2016-11-21T01:00:00,"Mon, 21 Nov 2016 00:51:58 GMT"
www.washingtonpost.com,22,2016-11-22T01:00:00,"Tue, 22 Nov 2016 00:57:50 GMT"
www.washingtonpost.com,23,2016-11-23T01:00:00,"Wed, 23 Nov 2016 01:38:14 GMT"
www.washingtonpost.com,24,2016-11-24T01:00:00,"Thu, 24 Nov 2016 00:43:01 GMT"
www.washingtonpost.com,25,2016-11-25T01:00:00,"Fri, 25 Nov 2016 00:40:26 GMT"
www.washingtonpost.com,26,2016-11-26T01:00:00,"Sat, 26 Nov 2016 00:45:02 GMT"
www.washingtonpost.com,27,2016-11-27T01:00:00,"Sun, 27 Nov 2016 01:41:44 GMT"
www.washingtonpost.com,28,2016-11-28T01:00:00,"Mon, 28 Nov 2016 00:30:44 GMT"
www.washingtonpost.com,29,2016-11-29T01:00:00,"Tue, 29 Nov 2016 01:04:02 GMT"
www.washingtonpost.com,30,2016-11-30T01:00:00,"Wed, 30 Nov 2016 01:09:58 GMT"
www.foxnews.com,1,2016-11-01T01:00:00,"Tue, 01 Nov 2016 01:03:55 GMT"
www.foxnews.com,2,2016-11-02T01:00:00,"Wed, 02 Nov 2016 01:04:25 GMT"
www.foxnews.com,3,2016-11-03T01:00:00,"Thu, 03 Nov 2016 01:04:19 GMT"
www.foxnews.com,4,2016-11-04T01:00:00,"Fri, 04 Nov 2016 01:05:23 GMT"
www.foxnews.com,5,2016-11-05T01:00:00,"Sat, 05 Nov 2016 01:05:06 GMT"
www.foxnews.com,6,2016-11-06T01:00:00,"Sun, 06 Nov 2016 01:04:48 GMT"
www.foxnews.com,7,2016-11-07T01:00:00,"Mon, 07 Nov 2016 01:04:03 GMT"
www.foxnews.com,8,2016-11-08T01:00:00,"Tue, 08 Nov 2016 01:00:41 GMT"
www.foxnews.com,9,2016-11-09T01:00:00,"Wed, 09 Nov 2016 01:00:43 GMT"
www.foxnews.com,10,2016-11-10T01:00:00,"Thu, 10 Nov 2016 01:01:06 GMT"
www.foxnews.com,11,2016-11-11T01:00:00,"Fri, 11 Nov 2016 01:04:00 GMT"
www.foxnews.com,12,2016-11-12T01:00:00,"Sat, 12 Nov 2016 01:03:51 GMT"
www.foxnews.com,13,2016-11-13T01:00:00,"Sun, 13 Nov 2016 01:03:46 GMT"
www.foxnews.com,14,2016-11-14T01:00:00,"Mon, 14 Nov 2016 01:04:42 GMT"
www.foxnews.com,15,2016-11-15T01:00:00,"Tue, 15 Nov 2016 01:03:40 GMT"
www.foxnews.com,16,2016-11-16T01:00:00,"Wed, 16 Nov 2016 01:04:34 GMT"
www.foxnews.com,17,2016-11-17T01:00:00,"Thu, 17 Nov 2016 01:05:03 GMT"
www.foxnews.com,18,2016-11-18T01:00:00,"Fri, 18 Nov 2016 00:33:02 GMT"
www.foxnews.com,19,2016-11-19T01:00:00,"Sat, 19 Nov 2016 00:35:53 GMT"
www.foxnews.com,20,2016-11-20T01:00:00,"Sun, 20 Nov 2016 02:03:39 GMT"
www.foxnews.com,21,2016-11-21T01:00:00,"Mon, 21 Nov 2016 01:40:12 GMT"
www.foxnews.com,22,2016-11-22T01:00:00,"Tue, 22 Nov 2016 01:13:53 GMT"
www.foxnews.com,23,2016-11-23T01:00:00,"Wed, 23 Nov 2016 01:38:06 GMT"
www.foxnews.com,24,2016-11-24T01:00:00,"Thu, 24 Nov 2016 01:45:16 GMT"
www.foxnews.com,25,2016-11-25T01:00:00,"Fri, 25 Nov 2016 01:17:12 GMT"
www.foxnews.com,26,2016-11-26T01:00:00,"Sat, 26 Nov 2016 01:49:31 GMT"
www.foxnews.com,27,2016-11-27T01:00:00,"Sun, 27 Nov 2016 00:50:07 GMT"
www.foxnews.com,28,2016-11-28T01:00:00,"Mon, 28 Nov 2016 01:51:02 GMT"
www.foxnews.com,29,2016-11-29T01:00:00,"Tue, 29 Nov 2016 00:57:12 GMT"
www.foxnews.com,30,2016-11-30T01:00:00,"Wed, 30 Nov 2016 01:04:04 GMT"
abcnews.go.com,1,2016-11-01T01:00:00,"Tue, 01 Nov 2016 01:47:18 GMT"
abcnews.go.com,2,2016-11-02T01:00:00,"Wed, 02 Nov 2016 03:01:59 GMT"
abcnews.go.com,3,2016-11-03T01:00:00,"Thu, 03 Nov 2016 00:49:55 GMT"
abcnews.go.com,4,2016-11-04T01:00:00,"Fri, 04 Nov 2016 01:40:14 GMT"
abcnews.go.com,5,2016-11-05T01:00:00,"Sat, 05 Nov 2016 01:38:44 GMT"
abcnews.go.com,6,2016-11-06T01:00:00,"Sun, 06 Nov 2016 01:37:49 GMT"
abcnews.go.com,7,2016-11-07T01:00:00,"Mon, 07 Nov 2016 01:46:13 GMT"
abcnews.go.com,8,2016-11-08T01:00:00,"Tue, 08 Nov 2016 00:49:43 GMT"
abcnews.go.com,9,2016-11-09T01:00:00,"Wed, 09 Nov 2016 01:07:34 GMT"
abcnews.go.com,10,2016-11-10T01:00:00,"Thu, 10 Nov 2016 01:36:20 GMT"
abcnews.go.com,11,2016-11-11T01:00:00,"Fri, 11 Nov 2016 00:27:03 GMT"
abcnews.go.com,12,2016-11-12T01:00:00,"Sat, 12 Nov 2016 00:44:57 GMT"
abcnews.go.com,13,2016-11-13T01:00:00,"Sun, 13 Nov 2016 01:21:13 GMT"
abcnews.go.com,14,2016-11-14T01:00:00,"Mon, 14 Nov 2016 01:38:27 GMT"
abcnews.go.com,15,2016-11-15T01:00:00,"Tue, 15 Nov 2016 00:46:33 GMT"
abcnews.go.com,16,2016-11-16T01:00:00,"Wed, 16 Nov 2016 01:17:30 GMT"
abcnews.go.com,17,2016-11-17T01:00:00,"Thu, 17 Nov 2016 01:38:16 GMT"
abcnews.go.com,18,2016-11-18T01:00:00,"Fri, 18 Nov 2016 01:47:25 GMT"
abcnews.go.com,19,2016-11-19T01:00:00,"Sat, 19 Nov 2016 01:36:49 GMT"
abcnews.go.com,20,2016-11-20T01:00:00,"Sun, 20 Nov 2016 00:33:50 GMT"
abcnews.go.com,21,2016-11-21T01:00:00,"Mon, 21 Nov 2016 01:43:16 GMT"
abcnews.go.com,22,2016-11-22T01:00:00,"Tue, 22 Nov 2016 01:02:12 GMT"
abcnews.go.com,23,2016-11-23T01:00:00,"Wed, 23 Nov 2016 01:38:20 GMT"
abcnews.go.com,24,2016-11-24T01:00:00,"Thu, 24 Nov 2016 00:38:14 GMT"
abcnews.go.com,25,2016-11-25T01:00:00,"Fri, 25 Nov 2016 00:51:53 GMT"
abcnews.go.com,26,2016-11-26T01:00:00,"Sat, 26 Nov 2016 01:39:59 GMT"
abcnews.go.com,27,2016-11-27T01:00:00,"Sun, 27 Nov 2016 01:45:09 GMT"
abcnews.go.com,28,2016-11-28T01:00:00,"Mon, 28 Nov 2016 01:36:42 GMT"
abcnews.go.com,29,2016-11-29T01:00:00,"Tue, 29 Nov 2016 00:59:43 GMT"
abcnews.go.com,30,2016-11-30T01:00:00,"Wed, 30 Nov 2016 01:48:13 GMT"
www.nytimes.com,1,2016-11-01T01:00:00,"Tue, 01 Nov 2016 01:05:22 GMT"
www.nytimes.com,2,2016-11-02T01:00:00,"Wed, 02 Nov 2016 00:59:24 GMT"
www.nytimes.com,3,2016-11-03T01:00:00,"Thu, 03 Nov 2016 01:05:22 GMT"
www.nytimes.com,4,2016-11-04T01:00:00,"Fri, 04 Nov 2016 01:06:24 GMT"
www.nytimes.com,5,2016-11-05T01:00:00,"Sat, 05 Nov 2016 01:10:37 GMT"
www.nytimes.com,6,2016-11-06T01:00:00,"Sun, 06 Nov 2016 01:05:44 GMT"
www.nytimes.com,7,2016-11-07T01:00:00,"Mon, 07 Nov 2016 01:05:00 GMT"
www.nytimes.com,8,2016-11-08T01:00:00,"Tue, 08 Nov 2016 01:05:15 GMT"
www.nytimes.com,9,2016-11-09T01:00:00,"Wed, 09 Nov 2016 00:56:04 GMT"
www.nytimes.com,10,2016-11-10T01:00:00,"Thu, 10 Nov 2016 00:58:59 GMT"
www.nytimes.com,11,2016-11-11T01:00:00,"Fri, 11 Nov 2016 01:02:50 GMT"
www.nytimes.com,12,2016-11-12T01:00:00,"Sat, 12 Nov 2016 00:57:15 GMT"
www.nytimes.com,13,2016-11-13T01:00:00,"Sun, 13 Nov 2016 01:08:58 GMT"
www.nytimes.com,14,2016-11-14T01:00:00,"Mon, 14 Nov 2016 01:06:34 GMT"
www.nytimes.com,15,2016-11-15T01:00:00,"Tue, 15 Nov 2016 01:06:12 GMT"
www.nytimes.com,16,2016-11-16T01:00:00,"Wed, 16 Nov 2016 00:59:22 GMT"
www.nytimes.com,17,2016-11-17T01:00:00,"Thu, 17 Nov 2016 01:14:17 GMT"
www.nytimes.com,18,2016-11-18T01:00:00,"Fri, 18 Nov 2016 00:33:00 GMT"
www.nytimes.com,19,2016-11-19T01:00:00,"Sat, 19 Nov 2016 00:58:24 GMT"
www.nytimes.com,20,2016-11-20T01:00:00,"Sun, 20 Nov 2016 01:14:30 GMT"
www.nytimes.com,21,2016-11-21T01:00:00,"Mon, 21 Nov 2016 00:50:28 GMT"
www.nytimes.com,22,2016-11-22T01:00:00,"Tue, 22 Nov 2016 00:49:40 GMT"
www.nytimes.com,23,2016-11-23T01:00:00,"Wed, 23 Nov 2016 00:38:42 GMT"
www.nytimes.com,24,2016-11-24T01:00:00,"Thu, 24 Nov 2016 00:42:20 GMT"
www.nytimes.com,25,2016-11-25T01:00:00,"Fri, 25 Nov 2016 01:38:19 GMT"
www.nytimes.com,26,2016-11-26T01:00:00,"Sat, 26 Nov 2016 00:55:20 GMT"
www.nytimes.com,27,2016-11-27T01:00:00,"Sun, 27 Nov 2016 01:09:56 GMT"
www.nytimes.com,28,2016-11-28T01:00:00,"Mon, 28 Nov 2016 01:41:06 GMT"
www.nytimes.com,29,2016-11-29T01:00:00,"Tue, 29 Nov 2016 01:06:47 GMT"
www.nytimes.com,30,2016-11-30T01:00:00,"Wed, 30 Nov 2016 01:05:32 GMT"
www.usatoday.com,1,2016-11-01T01:00:00,"Tue, 01 Nov 2016 01:21:09 GMT"
www.usatoday.com,2,2016-11-02T01:00:00,"Wed, 02 Nov 2016 01:23:36 GMT"
www.usatoday.com,3,2016-11-03T01:00:00,"Thu, 03 Nov 2016 00:52:38 GMT"
www.usatoday.com,4,2016-11-04T01:00:00,"Fri, 04 Nov 2016 01:23:22 GMT"
www.usatoday.com,5,2016-11-05T01:00:00,"Sat, 05 Nov 2016 00:45:37 GMT"
www.usatoday.com,6,2016-11-06T01:00:00,"Sun, 06 Nov 2016 01:25:32 GMT"
www.usatoday.com,7,2016-11-07T01:00:00,"Mon, 07 Nov 2016 01:19:18 GMT"
www.usatoday.com,8,2016-11-08T01:00:00,"Tue, 08 Nov 2016 00:54:03 GMT"
www.usatoday.com,9,2016-11-09T01:00:00,"Wed, 09 Nov 2016 01:23:06 GMT"
www.usatoday.com,10,2016-11-10T01:00:00,"Thu, 10 Nov 2016 01:03:15 GMT"
www.usatoday.com,11,2016-11-11T01:00:00,"Fri, 11 Nov 2016 00:58:57 GMT"
www.usatoday.com,12,2016-11-12T01:00:00,"Sat, 12 Nov 2016 01:09:08 GMT"
www.usatoday.com,13,2016-11-13T01:00:00,"Sun, 13 Nov 2016 00:47:17 GMT"
www.usatoday.com,14,2016-11-14T01:00:00,"Mon, 14 Nov 2016 01:20:57 GMT"
www.usatoday.com,15,2016-11-15T01:00:00,"Tue, 15 Nov 2016 01:18:01 GMT"
www.usatoday.com,16,2016-11-16T01:00:00,"Wed, 16 Nov 2016 01:03:27 GMT"
www.usatoday.com,17,2016-11-17T01:00:00,"Thu, 17 Nov 2016 00:50:09 GMT"
www.usatoday.com,18,2016-11-18T01:00:00,"Fri, 18 Nov 2016 01:14:16 GMT"
www.usatoday.com,19,2016-11-19T01:00:00,"Sat, 19 Nov 2016 01:41:29 GMT"
www.usatoday.com,20,2016-11-20T01:00:00,"Sun, 20 Nov 2016 00:47:15 GMT"
www.usatoday.com,21,2016-11-21T01:00:00,"Mon, 21 Nov 2016 02:51:25 GMT"
www.usatoday.com,22,2016-11-22T01:00:00,"Tue, 22 Nov 2016 01:09:13 GMT"
www.usatoday.com,23,2016-11-23T01:00:00,"Wed, 23 Nov 2016 01:40:11 GMT"
www.usatoday.com,24,2016-11-24T01:00:00,"Thu, 24 Nov 2016 01:51:25 GMT"
www.usatoday.com,25,2016-11-25T01:00:00,"Fri, 25 Nov 2016 02:04:40 GMT"
www.usatoday.com,26,2016-11-26T01:00:00,"Sat, 26 Nov 2016 01:40:08 GMT"
www.usatoday.com,27,2016-11-27T01:00:00,"Sun, 27 Nov 2016 01:38:39 GMT"
www.usatoday.com,28,2016-11-28T01:00:00,"Mon, 28 Nov 2016 01:37:32 GMT"
www.usatoday.com,29,2016-11-29T01:00:00,"Tue, 29 Nov 2016 01:24:25 GMT"
www.usatoday.com,30,2016-11-30T01:00:00,"Wed, 30 Nov 2016 01:21:57 GMT"
www.cbsnews.com,1,2016-11-01T01:00:00,"Tue, 01 Nov 2016 00:29:08 GMT"
www.cbsnews.com,2,2016-11-02T01:00:00,"Wed, 02 Nov 2016 00:19:08 GMT"
www.cbsnews.com,3,2016-11-03T01:00:00,"Thu, 03 Nov 2016 00:19:09 GMT"
www.cbsnews.com,4,2016-11-04T01:00:00,"Fri, 04 Nov 2016 00:27:08 GMT"
www.cbsnews.com,5,2016-11-05T01:00:00,"Sat, 05 Nov 2016 00:51:39 GMT"
www.cbsnews.com,6,2016-11-06T01:00:00,"Sun, 06 Nov 2016 00:34:36 GMT"
www.cbsnews.com,7,2016-11-07T01:00:00,"Mon, 07 Nov 2016 00:34:17 GMT"
www.cbsnews.com,8,2016-11-08T01:00:00,"Tue, 08 Nov 2016 00:37:27 GMT"
www.cbsnews.com,9,2016-11-09T01:00:00,"Wed, 09 Nov 2016 00:52:43 GMT"
www.cbsnews.com,10,2016-11-10T01:00:00,"Thu, 10 Nov 2016 00:57:56 GMT"
www.cbsnews.com,11,2016-11-11T01:00:00,"Fri, 11 Nov 2016 00:15:33 GMT"
www.cbsnews.com,12,2016-11-12T01:00:00,"Sat, 12 Nov 2016 00:49:18 GMT"
www.cbsnews.com,13,2016-11-13T01:00:00,"Sun, 13 Nov 2016 00:49:01 GMT"
