uri,day,request_datetime,actual_datetime
www.cbsnews.com,14,2016-11-14T01:00:00,"Mon, 14 Nov 2016 00:32:42 GMT"
www.cbsnews.com,15,2016-11-15T01:00:00,"Tue, 15 Nov 2016 01:04:33 GMT"
www.cbsnews.com,16,2016-11-16T01:00:00,"Wed, 16 Nov 2016 01:39:05 GMT"
www.cbsnews.com,17,2016-11-17T01:00:00,"Thu, 17 Nov 2016 01:38:03 GMT"
www.cbsnews.com,18,2016-11-18T01:00:00,"Fri, 18 Nov 2016 01:13:35 GMT"
www.cbsnews.com,19,2016-11-19T01:00:00,"Sat, 19 Nov 2016 01:31:57 GMT"
www.cbsnews.com,20,2016-11-20T01:00:00,"Sun, 20 Nov 2016 01:43:37 GMT"
www.cbsnews.com,21,2016-11-21T01:00:00,"Mon, 21 Nov 2016 03:17:58 GMT"
www.cbsnews.com,22,2016-11-22T01:00:00,"Tue, 22 Nov 2016 01:09:24 GMT"
www.cbsnews.com,23,2016-11-23T01:00:00,"Wed, 23 Nov 2016 00:44:49 GMT"
www.cbsnews.com,24,2016-11-24T01:00:00,"Thu, 24 Nov 2016 01:45:44 GMT"
www.cbsnews.com,25,2016-11-25T01:00:00,"Fri, 25 Nov 2016 00:11:39 GMT"
www.cbsnews.com,26,2016-11-26T01:00:00,"Sat, 26 Nov 2016 00:28:34 GMT"
www.cbsnews.com,27,2016-11-27T01:00:00,"Sun, 27 Nov 2016 01:27:21 GMT"
www.cbsnews.com,28,2016-11-28T01:00:00,"Mon, 28 Nov 2016 01:36:30 GMT"
www.cbsnews.com,29,2016-11-29T01:00:00,"Tue, 29 Nov 2016 01:14:30 GMT"
www.cbsnews.com,30,2016-11-30T01:00:00,"Wed, 30 Nov 2016 00:57:14 GMT"
www.chicagotribune.com,1,2016-11-01T01:00:00,"Tue, 01 Nov 2016 01:49:01 GMT"
www.chicagotribune.com,2,2016-11-02T01:00:00,"Wed, 02 Nov 2016 01:28:23 GMT"
www.chicagotribune.com,3,2016-11-03T01:00:00,"Thu, 03 Nov 2016 01:42:09 GMT"
www.chicagotribune.com,4,2016-11-04T01:00:00,"Fri, 04 Nov 2016 01:43:35 GMT"
www.chicagotribune.com,5,2016-11-05T01:00:00,"Sat, 05 Nov 2016 00:28:44 GMT"
www.chicagotribune.com,6,2016-11-06T01:00:00,"Sun, 06 Nov 2016 09:52:28 GMT"
www.chicagotribune.com,7,2016-11-07T01:00:00,"Mon, 07 Nov 2016 01:46:01 GMT"
www.chicagotribune.com,8,2016-11-08T01:00:00,"Tue, 08 Nov 2016 01:10:30 GMT"
www.chicagotribune.com,9,2016-11-09T01:00:00,"Wed, 09 Nov 2016 01:00:22 GMT"
www.chicagotribune.com,10,2016-11-10T01:00:00,"Thu, 10 Nov 2016 00:58:57 GMT"
www.chicagotribune.com,11,2016-11-11T01:00:00,"Fri, 11 Nov 2016 01:21:12 GMT"
www.chicagotribune.com,12,2016-11-12T01:00:00,"Sat, 12 Nov 2016 01:04:49 GMT"
www.chicagotribune.com,13,2016-11-13T01:00:00,"Sun, 13 Nov 2016 01:38:38 GMT"
www.chicagotribune.com,14,2016-11-14T01:00:00,"Mon, 14 Nov 2016 02:08:13 GMT"
www.chicagotribune.com,15,2016-11-15T01:00:00,"Mon, 14 Nov 2016 23:57:52 GMT"
www.chicagotribune.com,16,2016-11-16T01:00:00,"Wed, 16 Nov 2016 01:38:53 GMT"
www.chicagotribune.com,17,2016-11-17T01:00:00,"Thu, 17 Nov 2016 01:37:32 GMT"
www.chicagotribune.com,18,2016-11-18T01:00:00,"Fri, 18 Nov 2016 01:48:06 GMT"
www.chicagotribune.com,19,2016-11-19T01:00:00,"Sat, 19 Nov 2016 01:38:07 GMT"
www.chicagotribune.com,20,2016-11-20T01:00:00,"Sun, 20 Nov 2016 01:44:36 GMT"
www.chicagotribune.com,21,2016-11-21T01:00:00,"Mon, 21 Nov 2016 02:51:14 GMT"
www.chicagotribune.com,22,2016-11-22T01:00:00,"Tue, 22 Nov 2016 01:00:46 GMT"
www.chicagotribune.com,23,2016-11-23T01:00:00,"Wed, 23 Nov 2016 00:36:56 GMT"
www.chicagotribune.com,24,2016-11-24T01:00:00,"Thu, 24 Nov 2016 01:48:48 GMT"
www.chicagotribune.com,25,2016-11-25T01:00:00,"Thu, 24 Nov 2016 23:20:47 GMT"
www.chicagotribune.com,26,2016-11-26T01:00:00,"Sat, 26 Nov 2016 01:45:00 GMT"
www.chicagotribune.com,27,2016-11-27T01:00:00,"Sun, 27 Nov 2016 01:36:45 GMT"
www.chicagotribune.com,28,2016-11-28T01:00:00,"Sun, 27 Nov 2016 21:11:36 GMT"
www.chicagotribune.com,29,2016-11-29T01:00:00,"Tue, 29 Nov 2016 01:44:27 GMT"
www.chicagotribune.com,30,2016-11-30T01:00:00,"Wed, 30 Nov 2016 01:54:29 GMT"
www.nbcnews.com,1,2016-11-01T01:00:00,"Tue, 01 Nov 2016 00:17:52 GMT"
www.nbcnews.com,2,2016-11-02T01:00:00,"Wed, 02 Nov 2016 01:57:05 GMT"
www.nbcnews.com,3,2016-11-03T01:00:00,"Thu, 03 Nov 2016 00:53:35 GMT"
www.nbcnews.com,4,2016-11-04T01:00:00,"Fri, 04 Nov 2016 01:40:59 GMT"
www.nbcnews.com,5,2016-11-05T01:00:00,"Sat, 05 Nov 2016 01:12:35 GMT"
www.nbcnews.com,6,2016-11-06T01:00:00,"Sun, 06 Nov 2016 01:35:31 GMT"
www.nbcnews.com,7,2016-11-07T01:00:00,"Mon, 07 Nov 2016 01:26:46 GMT"
www.nbcnews.com,8,2016-11-08T01:00:00,"Tue, 08 Nov 2016 01:03:33 GMT"
www.nbcnews.com,9,2016-11-09T01:00:00,"Wed, 09 Nov 2016 00:55:29 GMT"
www.nbcnews.com,10,2016-11-10T01:00:00,"Thu, 10 Nov 2016 01:36:04 GMT"
www.nbcnews.com,11,2016-11-11T01:00:00,"Fri, 11 Nov 2016 01:00:39 GMT"
www.nbcnews.com,12,2016-11-12T01:00:00,"Sat, 12 Nov 2016 00:50:00 GMT"
www.nbcnews.com,13,2016-11-13T01:00:00,"Sun, 13 Nov 2016 01:33:04 GMT"
www.nbcnews.com,14,2016-11-14T01:00:00,"Mon, 14 Nov 2016 00:52:26 GMT"
www.nbcnews.com,15,2016-11-15T01:00:00,"Tue, 15 Nov 2016 01:18:10 GMT"
www.nbcnews.com,16,2016-11-16T01:00:00,"Wed, 16 Nov 2016 01:13:34 GMT"
www.nbcnews.com,17,2016-11-17T01:00:00,"Thu, 17 Nov 2016 01:13:51 GMT"
www.nbcnews.com,18,2016-11-18T01:00:00,"Fri, 18 Nov 2016 01:46:19 GMT"
www.nbcnews.com,19,2016-11-19T01:00:00,"Sat, 19 Nov 2016 01:36:02 GMT"
www.nbcnews.com,20,2016-11-20T01:00:00,"Sun, 20 Nov 2016 01:15:54 GMT"
www.nbcnews.com,21,2016-11-21T01:00:00,"Mon, 21 Nov 2016 02:19:27 GMT"
www.nbcnews.com,22,2016-11-22T01:00:00,"Tue, 22 Nov 2016 01:01:50 GMT"
www.nbcnews.com,23,2016-11-23T01:00:00,"Wed, 23 Nov 2016 01:37:08 GMT"
www.nbcnews.com,24,2016-11-24T01:00:00,"Thu, 24 Nov 2016 01:44:21 GMT"
www.nbcnews.com,25,2016-11-25T01:00:00,"Fri, 25 Nov 2016 02:10:08 GMT"
www.nbcnews.com,26,2016-11-26T01:00:00,"Sat, 26 Nov 2016 01:35:33 GMT"
www.nbcnews.com,27,2016-11-27T01:00:00,"Sun, 27 Nov 2016 01:38:38 GMT"
www.nbcnews.com,28,2016-11-28T01:00:00,"Mon, 28 Nov 2016 01:36:41 GMT"
www.nbcnews.com,29,2016-11-29T01:00:00,"Tue, 29 Nov 2016 00:59:43 GMT"
www.nbcnews.com,30,2016-11-30T01:00:00,"Wed, 30 Nov 2016 01:44:55 GMT"
www.latimes.com,1,2016-11-01T01:00:00,"Tue, 01 Nov 2016 01:06:05 GMT"
www.latimes.com,2,2016-11-02T01:00:00,"Wed, 02 Nov 2016 01:06:08 GMT"
www.latimes.com,3,2016-11-03T01:00:00,"Thu, 03 Nov 2016 01:43:26 GMT"
www.latimes.com,4,2016-11-04T01:00:00,"Fri, 04 Nov 2016 01:07:02 GMT"
www.latimes.com,5,2016-11-05T01:00:00,"Sat, 05 Nov 2016 01:07:24 GMT"
www.latimes.com,6,2016-11-06T01:00:00,"Sun, 06 Nov 2016 01:06:27 GMT"
www.latimes.com,7,2016-11-07T01:00:00,"Mon, 07 Nov 2016 01:05:37 GMT"
www.latimes.com,8,2016-11-08T01:00:00,"Tue, 08 Nov 2016 01:05:59 GMT"
www.latimes.com,9,2016-11-09T01:00:00,"Wed, 09 Nov 2016 01:06:08 GMT"
www.latimes.com,10,2016-11-10T01:00:00,"Thu, 10 Nov 2016 00:58:57 GMT"
www.latimes.com,11,2016-11-11T01:00:00,"Fri, 11 Nov 2016 01:06:59 GMT"
www.latimes.com,12,2016-11-12T01:00:00,"Sat, 12 Nov 2016 00:56:23 GMT"
www.latimes.com,13,2016-11-13T01:00:00,"Sun, 13 Nov 2016 01:06:07 GMT"
www.latimes.com,14,2016-11-14T01:00:00,"Mon, 14 Nov 2016 01:38:38 GMT"
www.latimes.com,15,2016-11-15T01:00:00,"Tue, 15 Nov 2016 01:06:50 GMT"
www.latimes.com,16,2016-11-16T01:00:00,"Wed, 16 Nov 2016 01:07:32 GMT"
www.latimes.com,17,2016-11-17T01:00:00,"Thu, 17 Nov 2016 01:09:24 GMT"
www.latimes.com,18,2016-11-18T01:00:00,"Fri, 18 Nov 2016 00:17:57 GMT"
www.latimes.com,19,2016-11-19T01:00:00,"Sat, 19 Nov 2016 01:36:38 GMT"
www.latimes.com,20,2016-11-20T01:00:00,"Sun, 20 Nov 2016 01:46:15 GMT"
www.latimes.com,21,2016-11-21T01:00:00,"Mon, 21 Nov 2016 02:19:05 GMT"
www.latimes.com,22,2016-11-22T01:00:00,"Tue, 22 Nov 2016 01:02:58 GMT"
www.latimes.com,23,2016-11-23T01:00:00,"Wed, 23 Nov 2016 01:40:08 GMT"
www.latimes.com,24,2016-11-24T01:00:00,"Thu, 24 Nov 2016 01:46:47 GMT"
www.latimes.com,25,2016-11-25T01:00:00,"Fri, 25 Nov 2016 01:51:10 GMT"
www.latimes.com,26,2016-11-26T01:00:00,"Sat, 26 Nov 2016 01:41:43 GMT"
www.latimes.com,27,2016-11-27T01:00:00,"Sun, 27 Nov 2016 01:36:12 GMT"
www.latimes.com,28,2016-11-28T01:00:00,"Mon, 28 Nov 2016 01:37:31 GMT"
www.latimes.com,29,2016-11-29T01:00:00,"Tue, 29 Nov 2016 01:07:29 GMT"
www.latimes.com,30,2016-11-30T01:00:00,"Wed, 30 Nov 2016 01:48:46 GMT"
www.npr.org,1,2016-11-01T01:00:00,"Tue, 01 Nov 2016 01:10:19 GMT"
www.npr.org,2,2016-11-02T01:00:00,"Wed, 02 Nov 2016 01:09:52 GMT"
www.npr.org,3,2016-11-03T01:00:00,"Thu, 03 Nov 2016 01:10:30 GMT"
www.npr.org,4,2016-11-04T01:00:00,"Fri, 04 Nov 2016 01:13:18 GMT"
www.npr.org,5,2016-11-05T01:00:00,"Sat, 05 Nov 2016 01:11:25 GMT"
www.npr.org,6,2016-11-06T01:00:00,"Sat, 05 Nov 2016 23:51:06 GMT"
www.npr.org,7,2016-11-07T01:00:00,"Mon, 07 Nov 2016 01:45:10 GMT"
www.npr.org,8,2016-11-08T01:00:00,"Tue, 08 Nov 2016 01:36:39 GMT"
www.npr.org,9,2016-11-09T01:00:00,"Wed, 09 Nov 2016 01:08:00 GMT"
www.npr.org,10,2016-11-10T01:00:00,"Thu, 10 Nov 2016 01:12:21 GMT"
www.npr.org,11,2016-11-11T01:00:00,"Fri, 11 Nov 2016 01:11:19 GMT"
www.npr.org,12,2016-11-12T01:00:00,"Sat, 12 Nov 2016 01:10:27 GMT"
www.npr.org,13,2016-11-13T01:00:00,"Sun, 13 Nov 2016 01:09:36 GMT"
www.npr.org,14,2016-11-14T01:00:00,"Mon, 14 Nov 2016 00:11:46 GMT"
www.npr.org,15,2016-11-15T01:00:00,"Tue, 15 Nov 2016 01:00:50 GMT"
www.npr.org,16,2016-11-16T01:00:00,"Wed, 16 Nov 2016 01:11:33 GMT"
www.npr.org,17,2016-11-17T01:00:00,"Thu, 17 Nov 2016 01:15:02 GMT"
www.npr.org,18,2016-11-18T01:00:00,"Thu, 17 Nov 2016 20:13:29 GMT"
www.npr.org,19,2016-11-19T01:00:00,"Sat, 19 Nov 2016 01:36:23 GMT"
www.npr.org,20,2016-11-20T01:00:00,"Sun, 20 Nov 2016 00:35:16 GMT"
www.npr.org,21,2016-11-21T01:00:00,"Mon, 21 Nov 2016 04:35:55 GMT"
www.npr.org,22,2016-11-22T01:00:00,"Tue, 22 Nov 2016 01:00:59 GMT"
www.npr.org,23,2016-11-23T01:00:00,"Wed, 23 Nov 2016 02:02:08 GMT"
www.npr.org,24,2016-11-24T01:00:00,"Thu, 24 Nov 2016 01:41:59 GMT"
www.npr.org,25,2016-11-25T01:00:00,"Fri, 25 Nov 2016 03:39:19 GMT"
www.npr.org,26,2016-11-26T01:00:00,"Sat, 26 Nov 2016 01:40:06 GMT"
www.npr.org,27,2016-11-27T01:00:00,"Sat, 26 Nov 2016 23:34:11 GMT"
www.npr.org,28,2016-11-28T01:00:00,"Mon, 28 Nov 2016 07:03:40 GMT"
www.npr.org,29,2016-11-29T01:00:00,"Tue, 29 Nov 2016 00:41:39 GMT"
www.npr.org,30,2016-11-30T01:00:00,"Wed, 30 Nov 2016 01:11:32 GMT"
www.wsj.com,1,2016-11-01T01:00:00,"Tue, 01 Nov 2016 01:21:52 GMT"
www.wsj.com,2,2016-11-02T01:00:00,"Wed, 02 Nov 2016 01:04:18 GMT"
www.wsj.com,3,2016-11-03T01:00:00,"Thu, 03 Nov 2016 01:21:04 GMT"
www.wsj.com,4,2016-11-04T01:00:00,"Fri, 04 Nov 2016 00:47:39 GMT"
www.wsj.com,5,2016-11-05T01:00:00,"Sat, 05 Nov 2016 00:45:27 GMT"
www.wsj.com,6,2016-11-06T01:00:00,"Sun, 06 Nov 2016 01:37:58 GMT"
www.wsj.com,7,2016-11-07T01:00:00,"Mon, 07 Nov 2016 01:15:15 GMT"
www.wsj.com,8,2016-11-08T01:00:00,"Tue, 08 Nov 2016 00:51:29 GMT"
www.wsj.com,9,2016-11-09T01:00:00,"Wed, 09 Nov 2016 01:24:22 GMT"
www.wsj.com,10,2016-11-10T01:00:00,"Thu, 10 Nov 2016 00:58:57 GMT"
www.wsj.com,11,2016-11-11T01:00:00,"Fri, 11 Nov 2016 01:00:35 GMT"
www.wsj.com,12,2016-11-12T01:00:00,"Sat, 12 Nov 2016 01:10:06 GMT"
www.wsj.com,13,2016-11-13T01:00:00,"Sun, 13 Nov 2016 01:21:02 GMT"
www.wsj.com,14,2016-11-14T01:00:00,"Mon, 14 Nov 2016 01:21:30 GMT"
www.wsj.com,15,2016-11-15T01:00:00,"Tue, 15 Nov 2016 01:24:06 GMT"
www.wsj.com,16,2016-11-16T01:00:00,"Wed, 16 Nov 2016 01:22:58 GMT"
www.wsj.com,17,2016-11-17T01:00:00,"Thu, 17 Nov 2016 01:27:57 GMT"
www.wsj.com,18,2016-11-18T01:00:00,"Fri, 18 Nov 2016 01:15:12 GMT"
www.wsj.com,19,2016-11-19T01:00:00,"Sat, 19 Nov 2016 00:36:05 GMT"
www.wsj.com,20,2016-11-20T01:00:00,"Sun, 20 Nov 2016 01:42:45 GMT"
www.wsj.com,21,2016-11-21T01:00:00,"Mon, 21 Nov 2016 01:40:43 GMT"
www.wsj.com,22,2016-11-22T01:00:00,"Tue, 22 Nov 2016 01:23:59 GMT"
www.wsj.com,23,2016-11-23T01:00:00,"Wed, 23 Nov 2016 00:44:26 GMT"
www.wsj.com,24,2016-11-24T01:00:00,"Thu, 24 Nov 2016 01:10:10 GMT"
www.wsj.com,25,2016-11-25T01:00:00,"Fri, 25 Nov 2016 01:37:24 GMT"
www.wsj.com,26,2016-11-26T01:00:00,"Sat, 26 Nov 2016 00:51:33 GMT"
www.wsj.com,27,2016-11-27T01:00:00,"Sun, 27 Nov 2016 01:39:02 GMT"
www.wsj.com,28,2016-11-28T01:00:00,"Mon, 28 Nov 2016 00:35:37 GMT"
www.wsj.com,29,2016-11-29T01:00:00,"Tue, 29 Nov 2016 00:58:50 GMT"
www.wsj.com,30,2016-11-30T01:00:00,"Wed, 30 Nov 2016 00:52:07 GMT"
